koloniSistemKimlik,kovanNoSnapshot,tarih,citaSayisi,bal_cita,yavruluCita,yavruDuzeni,mizac,beslemeTipi,beslemeYapildi,varroaMucadele,anaAriGoruldu,varroaGoruldu,ogulBelirtisi,ogulAtti,bolmeYapildi,kovanSondu,anaUretimGirisimVarMi,anasizBirakildiMi,anasizBaslangicTarihi,larvaYasiGun,memeDurumu,erkekAriDurumu,ciftlesmeDurumu,anaDegisimPlanlandiMi,notlar,sezon,kaynakKoloniNoNottan,kaynakKoloniSistemKimlikNottan,tureyenKoloniNoListesiNottan,tureyenKoloniSistemKimlikleri,olayTipiOneri,ayristirmaGuveni,ayristirmaNotu
KOL-004,25 (Eski 20),2026-04-06,8,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,1 Temel Petek ilave. Besleme Yapıldı. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-004,25 (Eski 20),2026-04-09,8,,,,,kristalize bal,1,timol,,,,0,0,0,0,0,,,,,,0,Kristalize bal ile beslendi. Timol,uretim,,,,,,yüksek,
KOL-005,1,2025-04-22,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,26'dan bölündü - şurup verildi.,uretim,26,KOL-014,,,child_created_from_split,yüksek,
KOL-005,1,2025-04-23,4,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Güçlü - 1 temel petek verildi - besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-005,1,2025-04-25,3,,,,,1/1 şurup,1,vetorax,,,1,0,0,0,1,0,,,görülemedi,,,0,Temel petek alındı. Ana memesi gözlenmedi. Şerbet almamış. Yeni şerbet verildi. Varroa Vetorax.,uretim,,,,,,yüksek,
KOL-005,1,2025-04-28,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Rüzgardan kapağı uçmuş. Arılar duruyordu. Kapağı kapatıldı. İşlem yapılmadı. Ortaya kova ile şerbet konuldu.,uretim,,,,,,yüksek,
KOL-005,1,2025-05-07,4,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Varroa. 7'den 1 petek aktarımı yapıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-05-10,4,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa. İyi görünüyor.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-05-24,6,,,günlük var,,1/1 şurup,1,,,,,0,0,0,0,0,,1,,,yumurtluyor,0,"Günlükler var. 1 Temel, 1 Kabarmış kara petek ilave. Besleme. Normal koloni düzeni.",uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-005,1,2025-06-02,6,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Beslendi. Varroa. Fena değil.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-005,1,2025-06-08,6,,,,,fondan,1,,,,,0,0,0,0,0,,,,,,0,Fondan verildi.,uretim,,,,,,yüksek,
KOL-005,1,2025-06-14,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-06-19,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-06-26,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Varroa. 19'dan 1 petek aktarımı yapıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-07-05,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-07-10,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-07-24,8,,,,,,0,,,,,0,0,0,0,0,,,,,,0,1 Temel petek ilave,uretim,,,,,,yüksek,
KOL-005,1,2025-08-04,8,,,yavru var,,,0,,,,,0,0,0,0,0,,,,,,0,Yavru var. Bal az.,uretim,,,,,,yüksek,
KOL-005,1,2025-08-19,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,"2 çıta fazlası var. Yavrulu, gen problemi var. Varroa. Alt Kapak Takıldı.",uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-005,1,2025-09-07,0,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Kovan sönmüş durumda.,kis,,,,,,yüksek,
KOL-006,6,2025-04-22,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,26'dan bölündü - şurup verildi.,uretim,26,KOL-014,,,child_created_from_split,yüksek,
KOL-006,6,2025-04-23,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Zayıf. Besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-006,6,2025-04-25,3,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,Ana gözleri açık. Beslendi. Varroa Vetorax.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-006,6,2025-04-28,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İşlem yapılmadı. Ortaya kova ile şerbet konuldu.,uretim,,,,,,yüksek,
KOL-006,6,2025-05-07,4,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Varroa. 7'den 1 petek aktarımı yapıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-05-10,4,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa. İyi görünüyor.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-05-24,5,,,günlük var,,1/1 şurup,1,,,,,0,0,0,0,0,,1,,,yumurtluyor,0,Günlükler var. 1 Kabarmış kara petek ilave. Besleme. Normal koloni düzeni.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-006,6,2025-06-02,7,,,günlük var; kapalı yavru var,,1/1 şurup,1,timol,,,,0,0,0,0,0,,1,,,yumurtluyor,0,İyi durumda. 1 Temel. 1 kara petek verildi. Kapalı ve günlükler var. Beslendi. Varroa.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-006,6,2025-06-08,7,,,,,fondan,1,,,,,0,0,0,0,0,,,,,,0,Fondan verildi.,uretim,,,,,,yüksek,
KOL-006,6,2025-06-14,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-06-19,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-06-26,7,,,kapalı yavru var,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Varroa. Son iki petek boş görünüyor. Fakat güçlü kapalı yavru var.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-07-05,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-07-10,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-07-24,7,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-08-04,7,,,yavru var,,,0,,,,,0,0,0,0,0,,,,,,0,Yavru var. Bal az.,uretim,,,,,,yüksek,
KOL-006,6,2025-08-19,5,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Zayıf. Varroa. Alt Kapak Takıldı.Gen problem.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-09-07,5,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Fena değil. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-09-10,5,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-09-13,5,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-006,6,2025-10-13,0,,,,,,0,,,,,0,0,0,0,0,,,,,,0,sönmüş,kis,,,,,,yüksek,
KOL-007,3,2025-04-22,9,,,,,1/1 şurup,1,,,,,0,1,0,0,0,,,,,,0,Bölündü (10) - 1 petek ve şurup verildi.,uretim,,,10,KOL-012,parent_split,yüksek,
KOL-007,3,2025-04-23,9,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çok güçlü - 2 temel petek 1 karakovan verildi besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-04-25,9,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,İyi durumda. Çıtaları kabartıyor. 2 temel petek ve 1 karakovan kabartılıyor. Beslendi. Varroa Vetorax. Kat yakın,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-04-28,9,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Filizkıran rüzgarı sebebi ile yalnızca hızlıca besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-05-05,13,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kat atıldı. Çift besleme yapıldı. Güçlü bir kovan. 1 Kara petek ve 3 temel petek verildi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-05-07,19,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Çok iyi görünüyor. Sıra ile bir temel bir kara petek şeklinde ballık dolduruldu. 3 Temel 3 Kabarmış. Çift besleme yapıldı. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-007,3,2025-05-10,19,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kata çıkmışlar. Çift Besleme. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-007,3,2025-05-14,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Çift Besleme. Sıra eli kabartıyorlar.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-05-20,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Gayet iyi. Beslendi. Vannoa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-05-24,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Beslendi. Belki 3. kat.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-007,3,2025-06-02,19,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Ful dolular. Çok iyi durumda. Düşünülüyor. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-06-08,19,,,,,,0,,,,,0,1,0,0,0,,,,,,0,Bölündü (39),uretim,,,39,KOL-015,parent_split,yüksek,
KOL-007,3,2025-06-14,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,3. Kat atıldı. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-06-19,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-06-26,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi durumda. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-07-05,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-07-10,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-07-24,24,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Arı az gibi. 3. Kat dağıtılabilir. 22 Ye 1 adet aktarım.,uretim,,,,,,yüksek,
KOL-007,3,2025-08-04,15,9,,,,,0,,,,,0,0,0,0,0,,,,,,0,9 ÇITA BAL ALINDI,uretim,,,,,,yüksek,
KOL-007,3,2025-08-19,9,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,"Kat alındı. Mozaik. Gen problem. Yavrulu. Bal yok, Varroa. Alt Kapak Takıldı.",uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-09-07,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Kalabalık sıkışık. İyi durumda. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-09-10,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-09-13,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-007,3,2025-10-13,9,,,,,,0,,,,,0,0,0,0,0,,,,,,0,iyi durumda,kis,,,,,,yüksek,
KOL-007,3,2025-11-13,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çuval invert şurup,kis,,,,,,yüksek,
KOL-007,3,2025-11-17,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-007,3,2025-11-22,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-007,3,2026-01-13,0,,,,,,0,,,,,0,0,0,0,0,,,,,,0,sönmüş,kis,,,,,,yüksek,
KOL-008,22,2025-04-22,13,,,,,1/1 şurup,1,,,,,0,1,0,0,0,,,,,,0,Bölündü (14-4) - 1 petek ve şurup verildi.,uretim,,,14-4,KOL-010;KOL-011,parent_split,yüksek,
KOL-008,22,2025-04-23,8,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Temel Petek verildi. Güçlü. Besleme yapıldı,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-04-25,9,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,İyi durumda. 1 Temel petek verildi.  Beslendi. Varroa Vetorax. Kat yakın,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-04-28,9,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Filizkıran rüzgarı sebebi ile yalnızca hızlıca besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-05-05,13,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kat atıldı. Çift besleme yapıldı. Güçlü bir kovan. 1 Kara petek ve 3 temel petek verildi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-05-07,19,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,"Çok iyi görünüyor. Sıra ile bir temel bir kara petek şeklinde ballık dolduruldu. 2 Temel 3  Kabarmış, 1 kara kovan.. Çift besleme yapıldı. Varroa",uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-008,22,2025-05-10,19,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kata çıkmışlar. Çift Besleme. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-008,22,2025-05-14,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Çift Besleme. Sıra eli kabartıyorlar.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-05-20,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Gayet iyi. Beslendi. Vannoa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-05-24,19,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Beslendi. Belki 3. kat.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2025-06-02,19,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Ful dolular. Çok iyi durumda. Düşünülüyor. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-06-14,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,3. Kat atıldı. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-06-19,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-06-26,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi durumda. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-07-05,25,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-07-10,26,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,1 Kabarmış ilave. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-07-24,28,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Çok güzel. 3'den ve 10 'den 1 ilave. Ballı.,uretim,,,,,,yüksek,
KOL-008,22,2025-08-04,16,12,,,,,0,,,,,0,0,0,0,0,,,,,,0,12 ÇITA BAL ALINDI,uretim,,,,,,yüksek,
KOL-008,22,2025-08-19,9,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,"Kat alındı. Güçlü, yavrulu. Varroa. Alt Kapak Takıldı.",uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-09-07,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,İyi durumda sıkışık. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-09-10,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-09-13,9,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-008,22,2025-10-13,9,,,,,,0,,,,,0,0,0,0,0,,,,,,0,iyi,kis,,,,,,yüksek,
KOL-008,22,2025-11-13,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çuval invert şurup,kis,,,,,,yüksek,
KOL-008,22,2025-11-17,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-008,22,2025-11-22,9,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
KOL-008,22,2026-01-13,9,,,,,,0,oksalik asit damlatma,,,,0,0,0,0,0,,,,,,0,Oksalik asit damlatma,kis,,,,,,yüksek,
KOL-008,22,2026-01-20,9,,,,,,0,oksalik asit sprey,,,,0,0,0,0,0,,,,,,0,Oksalik Asit sprey,kis,,,,,,yüksek,
KOL-008,22,2026-02-24,7,,,kapalı yavru var,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İyi görünüyor. Kapalı yavru var.  1/1 şerbet ile besleme yapıldı. Kalabalık,kis,,,,,,yüksek,
KOL-008,22,2026-02-25,7,,,,,,0,,,,,0,0,0,0,0,,,,,,0,Kapak nemi pürmüz ile kurutuldu.,kis,,,,,,yüksek,
KOL-008,22,2026-03-07,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Gayet iyi yavru düzeni sık. Az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2026-03-10,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Gayet iyi yavru düzeni sık. Az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2026-03-12,8,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Temel petek ilave edildi. Çok az besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-008,22,2026-04-01,8,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Kalabalık. Herşey yolunda. Besleme yapıldı. 1/1 şurup ile,uretim,,,,,,yüksek,
KOL-008,22,2026-04-06,9,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,Bir adet taze kabarmış petak. Yavru atımı için tam ortaya koydum. Besleme ve varroa mücadelesi,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-008,22,2026-04-09,9,,,,,kristalize bal,1,timol,,,,0,0,0,0,0,,,,,,0,Kristalize bal ile beslendi. Timol,uretim,,,,,,yüksek,
KOL-009,9,2025-04-23,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,31'den bölündü - şurup verildi.,uretim,31,KOL-020,,,child_created_from_split,yüksek,
KOL-009,9,2025-04-25,3,,,açık göz var,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,Açık gözler var. Şurubunu bitirememiş. Varroa Vetorax.,uretim,,,,,,yüksek,
KOL-009,9,2025-04-28,3,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İşlem yapılmadı. Ortaya kova ile şerbet konuldu.,uretim,,,,,,yüksek,
KOL-009,9,2025-05-07,3,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,İyi durumda. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-05-10,3,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa. İyi görünüyor.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-05-24,5,,,günlük var,,1/1 şurup,1,,,,,0,0,0,0,0,,1,,,yumurtluyor,0,Günlükler var. 1 Kabarmış kara petek ilave. Besleme. Normal koloni düzeni.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-009,9,2025-06-02,5,,,günlük var; kapalı yavru var,,1/1 şurup,1,timol,,,,0,0,0,0,0,,1,,,yumurtluyor,0,Kapalı ve günlükler var. Beslendi. Varroa. Gayet iyi.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-009,9,2025-06-08,6,,,yavru var,,fondan,1,,,,,0,0,0,0,0,,,,,,0,1 Çıta kabarmış eklendi. Güzel yavru var. Fondan verildi.,uretim,,,,,,yüksek,
KOL-009,9,2025-06-14,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-06-19,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-06-26,6,,,kapalı yavru var,,,0,,,,,0,0,0,0,0,,,,,,0,İyi durumda. Kapalı yavru var.,uretim,,,,,,yüksek,
KOL-009,9,2025-07-05,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-07-10,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,"1 Kabarmış, 1 Temel verildi. Varroa",uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-07-24,8,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-08-04,7,1,,,,,0,,,,,0,0,0,0,0,,,,,,0,1 ÇITA BAL alındı.,uretim,,,,,,yüksek,
KOL-009,9,2025-08-19,6,1,,yavru var,,,0,timol,,,,0,0,0,0,0,,,,,,0,1 ÇITA BAL ALINDI. 2 Çıta boş. Çok güzel yavru var. Varroa. Alt Kapak Takıldı.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-09-07,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,İyi durumda. Varroa 1. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-09-10,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 2. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-09-13,6,,,,,,0,varroset,,,,0,0,0,0,0,,,,,,0,Varroa 3. Gün,kis,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-009,9,2025-10-13,6,,,,,,0,,,,,0,0,0,0,0,,,,,,0,iyi durumda,kis,,,,,,yüksek,
KOL-009,9,2025-11-13,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Çuval invert şurup,kis,,,,,,yüksek,
KOL-009,9,2025-11-17,6,,,,,2/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İnvert Şurup,kis,,,,,,yüksek,
